Date,HSI,NYA,IXIC,000001.SS,N225,N100,399001.SZ,GSPTSE,NSEI,GDAXI,SSMI,TWII,J203.JO
2013-04-14 00:00:00,2871.5766014,9188.25,3294.949951,353.08480464,134.8513965,869.45737926,1413.62406256,10240.2076763,55.28549805,9448.6194244,8614.26610878,312.86519532,2704.1377342000005
2013-04-15 00:00:00,2830.4470896000003,8953.94043,3216.48999,349.11054688,132.7566016,864.4309853599999,1397.3504688,9964.0673237,55.68399902,9409.40845726,8607.750277800002,310.5411914,2660.2589454000004
2013-04-16 00:00:00,2817.363809,9086.419922,3264.629883,351.17519536000003,132.2144043,858.08697072,1416.38718752,10059.5173237,56.88950195,9372.74769516,8566.536108780001,312.0419922,2690.0762112
2013-04-17 00:00:00,2804.0570896,8948.349609,3204.669922,351.00734368,133.82889649999998,842.7394244000001,1423.0992187200002,9916.2588423,56.887001950000005,9153.6963377,8362.529165490001,312.36279296000004,2646.1170316
2013-04-18 00:00:00,2796.6275389,8921.179688,3166.360107,351.61632816,132.2007031,842.30016706,1422.08312496,9956.9288423,57.83100098,9117.9505756,8412.656938650001,311.65400392,2649.6834763
2013-04-19 00:00:00,2861.7641403,8994.120117,3206.060059,359.14289056,133.16480470000002,851.91377316,1457.7904688,10014.447676299998,57.83100098,9101.15115242,8456.823340260002,317.2319922,2689.5547658
2013-04-20 00:00:00,2861.7641403,8994.120117,3206.060059,359.14289056,133.16480470000002,851.91377316,1457.7904688,10014.447676299998,57.83100098,9101.15115242,8456.823340260002,317.2319922,2689.5547658
2013-04-21 00:00:00,2861.7641403,8994.120117,3206.060059,359.14289056,133.16480470000002,851.91377316,1457.7904688,10014.447676299998,57.83100098,9101.15115242,8456.823340260002,317.2319922,2689.5547658
2013-04-22 00:00:00,2865.7679882,9019.900391,3233.550049,358.7470312,135.6837012,852.3041817000001,1449.21921872,10035.281166,58.343999020000005,9123.29403286,8446.10110878,318.81519532,2671.8390237000003
2013-04-23 00:00:00,2834.8592194000003,9113.799805,3269.330078,349.52609376000004,135.2965039,877.59483294,1406.90078128,10035.4473237,58.36899902,9343.01615242,8660.7527778,317.7108008,2711.9700783
2013-04-24 00:00:00,2883.7966014000003,9146.450195,3269.649902,354.9308984,138.4345996,887.18401464,1425.86406256,10184.4323237,58.36899902,9466.0163377,8724.189170130001,320.94839844,2714.8149217000005
2013-04-25 00:00:00,2912.1612299,9188.860352,3289.98999,351.8891016,139.2608008,887.90377316,1403.6128124800002,10233.485,59.16299805,9556.08903286,8770.37665974,320.87,2739.0209763000003
2013-04-26 00:00:00,2931.2024222,9169.900391,3279.26001,348.46593744,138.8412988,878.13163538,1390.62234368,10142.766166,58.714501950000006,9534.00691452,8720.515004640001,320.88240236,2735.7695316000004
2013-04-27 00:00:00,2931.2024222,9169.900391,3279.26001,348.46593744,138.8412988,878.13163538,1390.62234368,10142.766166,58.714501950000006,9534.00691452,8720.515004640001,320.88240236,2735.7695316000004
2013-04-28 00:00:00,2931.2024222,9169.900391,3279.26001,348.46593744,138.8412988,878.13163538,1390.62234368,10142.766166,58.714501950000006,9534.00691452,8720.515004640001,320.88240236,2735.7695316000004
2013-04-29 00:00:00,2935.5000389,9245.219727,3307.02002,348.46593744,138.8412988,889.47762074,1390.62234368,10219.541166,59.04100098,9605.67,8770.920277800002,321.18960936,2731.7948441000003
2013-04-30 00:00:00,2955.8112701,9276.879883,3328.790039,348.46593744,138.60860350000002,886.7081975599999,1390.62234368,10338.895,59.302001950000005,9654.726152419998,8775.89305671,323.74640624,2711.4500000000003
2013-05-01 00:00:00,2955.8112701,9175.780273,3299.129883,348.46593744,137.9934961,886.7081975599999,1390.62234368,10226.6788423,59.302001950000005,9654.726152419998,8775.89305671,323.74640624,2711.4500000000003
2013-05-02 00:00:00,2946.8791014000003,9246.719727,3340.620117,347.85968752,136.94040040000002,889.79483294,1394.9120312,10275.0676763,59.99350098,9713.28615242,8771.453056710001,325.14039064,2735.7996092000003
